Type of Event,Date,Day of Week,Time,# of Attendees,Instructor1,Instructor2,Instructor3,Instructor4,Instructor5,Instructor6,Instructor7,Instructor8,Instructor9,Instructor10
LTC,7/11/26,Saturday,1:30 - 3:45 pm,34,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,Gia Gray,Hal Hunt,Ivy Iyer,
LTC,7/18/26,Saturday,1:30 - 3:45 pm,20,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,Gia Gray,Hal Hunt,Jo James (if needed),
Private Event,7/24/26,Friday,12:45 - 3 pm,13,Ann Adams,Bo Brooks,Cara Cole,,,,,,,
Private Event,7/24/26,Friday,12:45 - 3 pm,10,Dev Diaz,Eve Ellis,,,,,,,,
Private Event,7/25/26,Saturday,1:30 - 3:45 pm,24,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,,,,
Private Event,7/30/26,Thursday,1 - 3:15 pm,26,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,,,,
LTC,8/1/26,Saturday,1:30 - 3:45 pm,32,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,Gia Gray,Hal Hunt,Ivy Iyer,
Private Event,8/6/26,Thursday,12:30 - 2:45 pm,20,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,,,,,
CPATH,8/8/26,Saturday,2 - 4:15 pm,,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,,,,,
Private Event,8/13/26,Thursday,12:30 - 2:45 pm,20,Ann Adams,Cara Cole,Dev Diaz,Eve Ellis,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Private Event,8/25/26,Tuesday,12:30 - 2:45 pm,30,Ann Adams,Bo Brooks,Cara Cole,Dev Diaz,Eve Ellis,Finn Ford,,,,
Private Event,8/29/26,Saturday,1:30 - 3:45 pm,20,Ann Adams,,,,,,,,,
LTC,9/19/26,Saturday,2 - 4:15 pm,34,Bo Brooks,,,,,,,,,
LTC,10/17/26,Saturday,2 - 4:15 pm,22,,,,,,,,,,
CPATH,11/14/26,Saturday,2 - 4:15 pm,,,,,,,,,,,
